机构,比较分组,默认保障资料参考分,主榜名次,并列,有加分依据维度数,总维度数,评分说明,口碑提示（不计入分数）,证据截至,模型版本,换人保障得分（满分30）,换人保障档位（0–5）,换人保障依据与缺口,换人保障来源,退出与退费得分（满分20）,退出与退费档位（0–5）,退出与退费依据与缺口,退出与退费来源,人员筛选得分（满分15）,人员筛选档位（0–5）,人员筛选依据与缺口,人员筛选来源,督导与售后得分（满分15）,督导与售后档位（0–5）,督导与售后依据与缺口,督导与售后来源,主体与北京业务得分（满分10）,主体与北京业务档位（0–5）,主体与北京业务依据与缺口,主体与北京业务来源,费用透明度得分（满分10）,费用透明度档位（0–5）,费用透明度依据与缺口,费用透明度来源
茵澳,北京育儿业务有线索,33,11,是,4,6,有效工会活动给出合同期免费换人及中介费公式，是主要得分依据；会员条件、到岗时限和退费缺口须核。,可以纳入北京育儿机构，且补到较具体的收费与换人公开信息。比较时应突出活动适用资格、工资外另收中介费，并继续核替补期限与退款；不因缺少消费者投诉就认定口碑好。,2026-09-21,1.0,18,3,仍在有效期的北京工会活动明确包月合同期内免费换人且不重收中介费；缺次数、同档差价、到岗期限和无人可换处理。,https://xinwen.bjd.com.cn/content/s6a477c68e4b0e45f3fd405ee.html,0,0,已读工会活动页，未披露提前终约或无人可换的退费比例，专项检索也未取得算法；免费换人不等于可退中介费。,https://xinwen.bjd.com.cn/content/s6a477c68e4b0e45f3fd405ee.html,0,0,海报和官网培训集中家庭管家、经理及收纳等，未取得北京育儿候选的健康、背调和婴儿实操筛选流程。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103331482428241.jpg
https://inall.co/index.html",3,1,政府海报自述培训、就业及售后板块，能支持基础售后介绍；工会育儿产品未给督导责任、回访频次或应急时限。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103331482428241.jpg
https://xinwen.bjd.com.cn/content/s6a477c68e4b0e45f3fd405ee.html",8,4,当期工会活动明确北京市内育儿服务，官网可交叉定位北京茵澳主体、地址和客服；实际合同和人选尚未核。,"https://inall.co/index.html
https://xinwen.bjd.com.cn/content/s6a477c68e4b0e45f3fd405ee.html",4,2,当期活动明确中介费按一个月工资计算、会员折扣及期限，工资另付；缺实际工资区间、试工、休假与附加费。,https://xinwen.bjd.com.cn/content/s6a477c68e4b0e45f3fd405ee.html
众合瑞家,北京育儿业务有线索,33,11,是,4,6,机构自有广告有免费更换和较具体督导流程，但没有当前合同；旧活动日期、次数差价、退款及机构费用是优先核对的缺口。,建议新增且更换宣传比无条款小店更具体；仍必须索取换人期限、无法匹配退费和实际保单。推广文中的99分、100%资质率及千人团队均不采信为独立口碑。,2026-09-21,1.0,12,2,已读机构自有58育儿广告明确合同期不满意可免费更换，但次数、跨级差价和推荐到岗时限不明；旧优惠券也提示需复核当前适用。,https://m.58.com/bj/baomu/28894981157162x.shtml,0,0,商家广告与主页未提供现行退款公式、无人可换退出办法或真实退费结局，免费更换承诺不能直接等同服务费可退。,,6,2,机构自有广告列身份核查、体检、培训与保险，至少有两类明确流程；营销身份库表述未验证，实操考核及实际保单仍缺。,https://m.58.com/bj/baomu/28894981157162x.shtml,9,3,机构自有广告列专属微信一对一督导、定期督查、技能提升和反馈系统，机制相对具体；回访频率、响应时限与现行执行未核。,https://m.58.com/bj/baomu/28894981157162x.shtml,6,3,机构自有育儿广告与亚运村近期岗位能定位北京业务及门店，全称和代码主要靠旧广告索引、培训目录补充，合同法人关联仍需核对。,"https://m.58.com/bj/baomu/28894981157162x.shtml
https://bj.jiazhenggang.com/user/bjzhrjyyc/
https://tracklog.58.com/detail/m/shenghuo/79183847829700x.shtml
http://www.liexue.cn/school-97357/",0,0,6500至7000元及万元带睡岗位均为2025招聘工资，不是当前家庭完整报价；机构服务费、试工和加班差价未取得。,https://bj.jiazhenggang.com/user/bjzhrjyyc/
北京优贝优家政服务有限公司,北京育儿业务有线索,32,13,否,4,6,机构自有页面支持试工和任意调换、筛选及投诉处理，但免费范围、退款和报价仍不清；近名机构的承诺不并入。,已补先试工、任意调换原文及2022月嫂正面投稿；当前育儿嫂免费更换和退费规则依然不完整。已排除近似品牌投诉和政策混淆。,2026-09-21,1.0,12,2,当年机构自有服务页说先试工后签合同、不满意可任意调换，明确包含育儿嫂；仍未说明免费、更换上限和替补到岗期。,https://www.beijingbaomu.com/user/youbeiyou/xq99999985628.html,0,0,现有商家服务页未列试工结束、机构匹配失败及中途解除时怎样退服务费；任意调换不能理解为任意阶段全额退。,,6,2,机构自有服务页称背景核实、培训持证及身份健康真实，有筛选训练流程线索；尚未取得核验项目、体检与技能实操原件。,https://www.beijingbaomu.com/user/youbeiyou/xq99999985628.html,6,2,机构自有服务页提客户沟通与投诉处理，存在售后职责说明；尚未列专属顾问、响应时限、固定督导和突发离岗补位方案。,https://www.beijingbaomu.com/user/youbeiyou/xq99999985628.html,8,4,机构自有商家及当年服务页能对应北京优贝优公司、育儿业务、电话和丰台地址；已区分近名机构，实际合同仍待核。,"https://www.beijingbaomu.com/user/youbeiyou/
https://www.beijingbaomu.com/user/youbeiyou/xq99999985628.html",0,0,当年广告将育儿嫂与月嫂或其他家政混列，无法拆出适用工资和机构费；需按育儿职责、带睡及休息取得专门报价。,https://www.beijingbaomu.com/user/youbeiyou/xq99999985628.html
北京中青家政,北京育儿业务有线索,31,14,否,5,6,人员筛选和督导职责有官网描述，但较完整的换人收费条款仍是旧版，须用现行合同重新确认。,可比较员工制与中介制，但公开2022条款限制免费换人次数且推介费不退，和“机构能换人”的目标只部分匹配。未找到足够可归属的近期北京育儿嫂独立案例，不能给口碑高分。,2026-09-21,1.0,6,1,二〇二二年资费页列三次免费调换及超过次数加收推介费，具有限定条件；但未取得现行版本及替补到岗期限。,https://www.zqjz.com/index/index/jzfw?id=8,0,0,旧页称推介费不退，履约保证金终约返还不等于匹配失败可退服务费；未取得现行育儿嫂失配退出的正向退款依据。,https://www.zqjz.com/index/index/jzfw?id=8,9,3,官网介绍统一招工、培训考核、体检与持证，含多类人员筛选流程；尚未核具体阿姨的考核记录及实际雇佣关系。,https://www.zqjz.com/index/index/gywm?id=5,6,2,官网员工制介绍明确督导老师监督指导和个性化培训职责；尚缺上户频次、问题响应及临时离岗后的补位安排。,https://www.zqjz.com/index/index/gywm?id=5,8,4,官网北京育婴服务、联系方式与政府名录均对应北京中青家政有限公司；已与华夏中青区分，实际订单主体仍待核。,"https://www.zqjz.com/index/index/gywm?id=5
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4251021.html",2,1,旧页列工资、管理费、保险及推介费，但推介费口径有矛盾且版本为二〇二二年；不能视为当前完整费用表。,https://www.zqjz.com/index/index/jzfw?id=8
大班家政,北京育儿业务有线索,29,15,否,4,6,官网可核免费更换与专人顾问，北京主体较清晰；免费次数、连续匹配失败退出及完整费用仍缺，投诉另行查看。,小红书站内已读具名材料：评论者自述北京咨询白班阿姨时对报价解释和沟通态度不满；另有异地收费与涨薪抱怨。主帖是询问，不能当作北京育儿嫂换人失败案例。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,12,2,当前官网育儿服务页明确免费更换，已超出只有口号的可换线索；但统一次数、同档差价与替补实际到岗期限仍缺。,https://www.bjdaban.com/service/,0,0,未取得当前育儿嫂完整退费政策；投诉中服务费及合同选择是个案陈述，不用作现行统一退款规则或自动扣分依据。,,3,1,官网提培训和资质筛选，但未列足够可检查的背调及技能流程；拟派人选实操、证件和上一户离岗原因尚未核。,https://www.bjdaban.com/service/,6,2,官网有专人顾问及售后更换职责，但未给固定回访和升级时限；仍需明确本单负责人、连续离岗处理和替岗计划。,https://www.bjdaban.com/service/,8,4,官网育儿服务与政府名录能对应北京大班家政公司，北京联系渠道可定位；实际分店的签约、收款及派工责任未核。,"https://www.bjdaban.com/service/
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4251010.html",0,0,官网未取得当期育儿嫂统一费用表；消费者个案九千元或一万二千八百元不能代表标准服务费或工资，仍需书面报价。,
北京华夏逢缘家政服务有限公司,北京育儿业务有线索,27,16,否,4,6,机构自有简介对筛选和跟进有描述，但三次更换未明免费与工种，品牌页有异地模板；退款和育儿嫂收费仍需补齐。,新增找到三次更换宣传与2018月嫂正面投稿；二者均不能证明当前育儿嫂换人质量。应核展示页政策是否仍执行、是否收费及无人可换的退费办法。,2026-09-21,1.0,6,1,机构自有品牌页写无理由更换三次，却未说明免费、期限和育儿嫂适用范围，并混有异地模板；仅记模糊换人线索。,https://www.beijingbaomu.com/fengyuan/,0,0,已查商家简介及品牌页，未取得退款比例、首配费或试用取消算法；三次更换宣传没有说明连续不适配如何退出。,,9,3,机构自有商家简介列身份核实、体检、岗前测评和培训，覆盖多类流程；尚未审拟派人选证件、具体实操与责任保险。,https://www.beijingbaomu.com/user/fengyuan/about.html,6,2,机构自有简介称管理团队跟踪用户反馈，品牌页另列督导部门；可识别跟进职责，但实际频次、响应与升级机制未公开。,"https://www.beijingbaomu.com/user/fengyuan/about.html
https://www.beijingbaomu.com/fengyuan/",6,3,机构自有简介能对应北京华夏逢缘公司、育儿业务和电话地址；品牌页混有上海地名及另一接待地，实际门店与责任仍需核。,"https://www.beijingbaomu.com/user/fengyuan/about.html
https://www.beijingbaomu.com/fengyuan/",0,0,所读四千五至八千元为普通住家保姆广告，没有可归属当前育儿嫂的专门报价；机构费、带睡和假日费用仍未列明。,
依链家政,北京育儿业务有线索,26,17,否,3,6,官网的筛选类别、客服跟踪和北京主体较清楚，提供了相对具体的保障线索；关键换人、退款及收费仍需补合同。,北京育婴业务和公司身份比只有营销文的品牌更容易核对，但仍缺最关键的更换/退费合同。多渠道精确词搜索未取得可对应的独立雇主口碑，无法据政府名录把售后评为优秀。,2026-09-21,1.0,0,0,已读依链官网没有育儿免费更换次数、失配重配或补位期限；30分钟顾问对接只是咨询响应，不能作为换人到岗保证。,http://www.yljiazheng.com/,0,0,官网及政府名录未提供育儿合同退费规则，机构无人可换、提前解约如何扣费及何时到账，仍需现行书面合同确认。,,9,3,官网列四项培训、五项背景调查、九项健康检查和家政保险，覆盖多类筛选流程；具体项目、保单及拟派个人记录尚未核。,http://www.yljiazheng.com/,9,3,官网公开专属客服全程跟踪、30分钟顾问对接及24小时热线，并有保险安排；育儿回访频次、升级路径和违约补救仍缺。,http://www.yljiazheng.com/,8,4,已读官网明确北京朝阳门店、育婴到家服务及电话，政府名录与企业页可交叉定位依链主体；本单签约收款与档期仍未核。,"http://www.yljiazheng.com/
https://rsj.beijing.gov.cn/weimenhu/wmtgz/202511/t20251106_4264127.html
https://www.yellowurl.cn/60057659.html",0,0,官网未提供北京育婴服务工资分档、机构服务费和试工续约费用，客服响应与保险宣传不能补足可比较的家庭报价。,
天使来了（北京妈妈乐科技有限公司）,北京育儿业务有线索,25,18,否,4,6,机构自有商家页明确三天试工与退换，但费用和时限未细化；主体在售仍需确认，不能把随心退换理解成全额退款。,已回读退换和试工原文，实际保障仍只有商家口号。三类检索未找到能够确定归属本主体的独立育儿嫂消费案例；签约前先核主体、现营与完整退费条款。,2026-09-21,1.0,12,2,已读机构自有商家页，称所有项目可随心退换及三天免费试工，覆盖所列北京育儿服务；但次数、同档价差和到岗期仍缺。,https://www.beijingbaomu.com/user/tsll/,4,1,机构自有商家页只有随心退换的笼统说法，没有列可退费用及扣费条件；不理解为任何阶段全额退，到账期限仍需核。,https://www.beijingbaomu.com/user/tsll/,3,1,商家自述专业背调，但没有公开检查项目及可核报告；身份证明、体检、育婴证书和技能训练仍缺足够具体流程。,https://www.beijingbaomu.com/user/tsll/,0,0,本轮机构自有商家页未说明顾问回访、上户督导或突发离岗协调；退换口号不额外计作已建立的售后升级机制。,,6,3,机构自有商家页将天使来了关联北京妈妈乐科技公司，列北京育儿业务和地址；未核当前联系、在售状态及合同法人。,https://www.beijingbaomu.com/user/tsll/,0,0,已读商家业务介绍，但未取得当前北京育儿嫂工资及机构收费；免费试工宣传也不能补成续签、假日和替换价差表。,
万婴宝,北京育儿业务有线索,24,19,否,5,6,官网主体和北京业务可定位，换退及筛选较多来自推广或平台介绍；需补当前合同和完整费用，避免混同亿婴宝。,小红书站内已读具名材料：作者自述7月交一年1万元中介费，多次匹配、试用仍不满意，涉及小月龄经验、带睡及沟通，后续称改由公婆照顾。其他评论提到的退费与扣30%是别的订单，不并入主帖结果。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,6,1,机构推广稿出现二十四小时补调和试用退换，但仅检索正文可见且未明所签育儿嫂订单适用性，不能当硬性到岗规则。,https://www.hqol.cn/zixun/article-MTU1OQ%3D%3D-2456281.html,4,1,推广稿仅有灵活退换表述，官网未取得退费计算方式；仍缺可退费用、服务后扣费、匹配失败处理和到账期限。,https://www.hqol.cn/zixun/article-MTU1OQ%3D%3D-2456281.html,3,1,培训平台企业介绍称查身份证、健康证明并统一培训及配保险；属于间接自述，尚无官网完整流程或候选核验报告。,https://bj.jiaoyubao.cn/edu/wyb/about.html,3,1,推广文章提售后补调，但未取得独立售后制度；具体负责顾问、督导频率、响应期限和异常升级路径均需补核。,https://www.hqol.cn/zixun/article-MTU1OQ%3D%3D-2456281.html,8,4,官网可对应北京万婴宝家政服务有限公司、育儿嫂业务及芍药居联系点；已与亿婴宝区分，当前候选档期尚未确认。,https://www.bjwybmy.com/,0,0,官网人员工资片段混合不同工种和等级，尚无可单独归属育儿嫂的家庭费用表；机构费、月工作日及替换价差均需另核。,https://www.bjwybmy.com/
喜来盈,北京育儿业务有线索,23,20,否,4,6,有明确育儿嫂试用调换文案，但网页时效和主体承接需要核实；现行退款、筛选细则与收费仍缺证据。,官网确有同时面向育儿嫂的调换声明。独立口碑搜索主要命中旧感谢文字和异地同名，未取得近期北京订单结局；主体名称和旧网页需核实后再进入优先面试名单。,2026-09-21,1.0,12,2,当前可读官网横幅明确月嫂育儿嫂不适合可调换，适用工种清楚；但未写免费范围、次数、价差及替补到岗期限。,http://www.xilaiyingyuesao.com/,0,0,已读官网且定向检索，未取得育儿嫂试用退出扣费和调换失败退款规则；随时试用不等于无条件退服务费。,,3,1,官网展示技能星级与母婴培训，尚属培训宣传；未取得当前背调、健康审核、育儿实操及证书真实性的核查流程。,http://www.xilaiyingyuesao.com/,0,0,官网仅提供调换入口，未取得育儿嫂固定回访或督导职责；夜间紧急售后、离岗补位和问题升级均缺公开机制。,,6,3,官网北京育儿嫂业务可读，招聘资料能补公司名称线索；旧服务中心与现公司关系、当前门店和收款主体仍未闭环。,"http://www.xilaiyingyuesao.com/
https://www.zhipin.com/gongsis/d49ade680b3c35dc1X183d-5.html",2,1,官网列四千至七千八百元的分级月价，但未标有效日期且同页素材偏旧；机构费及附加费未明，不视为当期报价。,http://www.xilaiyingyuesao.com/
北京新鑫家政服务有限公司,北京育儿业务有线索,22,21,否,4,6,当年商家文章说明初筛和顾问跟进，育儿嫂广告有月价范围；更换、退款和机构费用不明，地址版本也需确认。,已补较新报价和选人流程，发现门店地址存在海淀/朝阳两版。独立评价查询没有形成可核机构履约口碑；核心更换和退费条款仍待取得。,2026-09-21,1.0,0,0,当年机构自有商家服务页没有免费更换次数、差价与到岗规则；文章提线上签约，但未附合同，不据流程名称推定保障。,,0,0,未取得中介费、持续服务费和试工取消或换人失败的退款算法；现有签约流程没有列明确退出条件及到账时限。,,6,2,当年机构作者列身份证初核、健康问询、技能沟通和持续培训，已有两类流程；健康问询非体检，实操及背景报告仍缺。,https://www.beijingbaomu.com/xinxi/9999992118.html,6,2,机构作者说明顾问后续支持并更新人员状态，能够定位跟进职责；尚无明确响应时限、上户频次和紧急补位流程。,https://www.beijingbaomu.com/xinxi/9999992118.html,6,3,机构自有商家页及当年育儿服务广告可关联公司与电话，但海淀、望京两处地址关系未明；实际接待点和合同方需核实。,"https://www.beijingbaomu.com/user/xinxin/
https://www.beijingbaomu.com/wap/xuqiu/100000004315.html",4,2,当年面向客户的育儿嫂广告给六千至九千元月价范围，属明确工种报价线索；仍缺工作日、带睡及机构费明细。,https://www.beijingbaomu.com/wap/xuqiu/100000004315.html
北京顺康家政服务有限公司,北京育儿业务有线索,21,22,否,3,6,近期机构自有商家资料说明筛选与试工协调流程，但法人及地址版本不一；更换、退费与家庭总费用仍缺文字。,已补到近期开单线索、电话、选人流程，并发现主体/地址多版本。独立口碑复查没有取得可确定归属的北京育儿嫂消费者原帖，换人退费仍必须索合同。,2026-09-21,1.0,0,0,当前机构自有商家页及文章只有试工后及时协调，没有明确换人次数、费用和到岗承诺；协调不能等同替换一定成功。,,0,0,未取得面向雇主的机构费用拆分、取消和退费公式；试工磨合描述没有说明连续不适配或无人可换时如何退出。,,9,3,当年机构作者介绍简历筛选、情景面试及证件健康证明检查，覆盖多类核验；按公开流程计档，候选原始材料尚未审。,https://www.beijingbaomu.com/xinxi/9999992414.html,6,2,机构自述跟进试工反馈及售后磨合协调，说明了处理职责；仍缺回访频率、具体负责人、硬性响应和临时替补计划。,https://www.beijingbaomu.com/xinxi/9999992414.html,6,3,机构自有商家页有近期北京小月龄岗位和公开联系，但顺康、顺康家业等法人称呼及两座地址关系未明，实际合同方待核。,"https://www.beijingbaomu.com/user/shunkang/
https://bj.jiazhenggang.com/user/shunkang/",0,0,公开的八千五至一万元等数字属于具体招聘岗位工资，非面向雇主的完整价目；机构费、试工及换人差价均未列明。,
艾禧悦,北京育儿业务有线索,18,23,是,5,6,换退和服务流程较具体的材料来自旧品牌报道，官网完整主体未闭环；应先核当前责任方，再核现行条款。,小红书站内已读具名材料：作者先因替班月嫂表现犹豫换人，04-20称机构一直劝不要换；展开回复见04-21称已经顺利更换，新人更好；04-23/24继续称替换月嫂勤快耐心。可作为实际更换履行的单户自述证据。；作者对某月嫂护理、做饭、相处给正面评价，正文称52天，标题却42天。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,6,1,二〇二四年品牌转载称合同期不满可免费换，但没有次数、差价或到岗期；出处和时效有限，不作为现行合同保障。,https://www.hqwhw.com/life/xfsc/4090.html,4,1,同一旧品牌文写终止后十五个工作日退款，却没有金额和扣费公式；不能推成全额退，当前北京育儿嫂适用性仍待核。,https://www.hqwhw.com/life/xfsc/4090.html,3,1,旧品牌报道宣传身份背景、体检、考核及保险，缺当前原始流程；未取得拟派人员核验报告和适用保单，仅记间接档。,https://www.hqwhw.com/life/xfsc/4090.html,3,1,旧品牌文说一对一顾问、定期回访和投诉考核，但未核现行执行；当前服务责任、响应与替补安排仍缺可审规则。,https://www.hqwhw.com/life/xfsc/4090.html,2,1,官网只回读到搜索摘要，完整法人未闭环且联系信息沿用旧核；北京育儿业务有历史线索，但不能确认当期责任主体。,"https://www.hqwhw.com/life/xfsc/4090.html
https://m.aixiyue.cn/
http://www.juuj.cn/pinpai/133502.html",0,0,已查品牌、官网索引和相关介绍，未取得当前北京育儿嫂工资、服务费及续签费表；其他宣传不能补成家庭报价。,
瑞多帮家政,北京育儿业务有线索,18,23,是,5,6,较新官方名录帮助定位主体，具体不限次更换、培训和督导却来自九年前旧帖，现行条款须重新确认。,官方名录支持业务线索，新增找到历史不限次更换声明。独立口碑检索未取得具名育儿嫂消费原帖；当前保障不能沿用九年前文案。,2026-09-21,1.0,6,1,二〇一七年商家原帖写一年不限次数免费调换，但年代较久；未取得现行育儿嫂政策及替补到岗期，只记历史承诺。,https://www.beijingbaomu.com/user/ruiduobang/xq56018.html,0,0,旧帖说明工资直接支付给阿姨且不提成，没有说明机构费退还；当前退款触发、扣费与换人失败退出规则仍未取得。,,3,1,旧商家帖自述系统考核、持证和培训，不能证明现行人员标准；拟派育儿嫂的健康、背调与实操考核尚无原始记录。,https://www.beijingbaomu.com/user/ruiduobang/xq56018.html,3,1,二〇一七年帖提全程跟踪及定期不定期检查，仅能支持历史管理线索；当前督导负责人、频次和处理期限仍需核。,https://www.beijingbaomu.com/user/ruiduobang/xq56018.html,4,2,政府二〇二五年名录与商家目录对应公司及育儿嫂业务，但主要为名录线索；地址版本矛盾、当前接单尚未电话确认。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4250996.html
https://bj.jiazhenggang.com/user/bjrdb/",2,1,旧商家服务页有五千至六千二百元的报价字段，但版本为二〇一七年；不能作当前月费，现行机构费和附加费缺失。,https://www.beijingbaomu.com/user/ruiduobang/xq56018.html
北京运成家政服务有限公司,北京育儿业务有线索,18,23,是,4,6,机构自有商家有近期北京育儿嫂服务及月价范围，培训售后多为自述；免费换人、退出公式和总费用还不够明确。,已补近期服务、价格、电话和机构服务描述。口碑主要来自自写手记，不能算独立用户好评；取得当前更换、退款条款后才可和前列机构比较。,2026-09-21,1.0,0,0,已读机构自有商家主页及当年育儿嫂广告，未取得免费更换次数、候选期限和到岗承诺；近期发布不能证明替补保障。,,0,0,未取得中介管理费拆分、提前解除及匹配失败退款细则；服务手记也没有双方确认的退费结果，不推定可退比例。,,3,1,机构自有服务广告称专业培训、健康证和育婴师证，但未说明核验程序；候选证书原件、背景及专项实操记录仍缺。,https://www.beijingbaomu.com/user/yuncheng/xq100000012704.html,3,1,当年机构作者的服务手记描述沟通匹配与家庭协作，尚属服务过程宣传；未列上户督导、响应与替补升级的固定规则。,https://www.beijingbaomu.com/xinxi/9999992431.html,8,4,机构自有商家页面明确北京运成家政公司、育儿服务及望京电话地址，当月还有专页发布；执照和实际候选档期尚未独立核。,"https://www.beijingbaomu.com/user/yuncheng/
https://www.beijingbaomu.com/user/yuncheng/xq100000012704.html",4,2,当月面向客户的育儿嫂服务广告标六千至一万元月价范围，属于明确工种报价线索；工作日、带睡和机构费仍缺细项。,https://www.beijingbaomu.com/user/yuncheng/xq100000012704.html
爱宝蓓 / 北京爱月宝,北京育儿业务有线索,18,23,是,4,6,房山育儿业务和本地主体有线索，换人与督导宣传较具体但主要来自营销材料；加盟关系、退款和收费需现行合同核实。,可纳入北京母婴育儿服务候选，重点考察房山实际店和爱宝蓓本地合同。现有大量网络推荐稿主要是企业营销；没有取得可信的独立北京雇主换人/退费经历。推广中的7天适配与48小时交接，应要求写入具体合同后才可比较。,2026-09-21,1.0,6,1,第三方2026推广稿称七天适配、24小时匹配及48小时交接，仅作宣传线索；没有完整协议，免费边界和北京履约未核。,https://www.hqol.cn/qiye/article/97689.html,0,0,没有取得雇主中介费或管理费的退费比例、无人可换处理与到账时间；培训学费返还属于不同合同，不计育儿退费分。,,3,1,商家推广称理论实操、体检、家政险及复训，学校合作仅见索引目标段；尚未形成可核育儿筛选流程或实际人选记录。,"http://aiyeubao.m.pinsowang.com/
https://jw.beijing.gov.cn/bjzj/gdzyreport/zdreport/202403/P020250515618963264042.pdf",3,1,推广主页称顾问、每日日志和定期回访，仍为营销自述且未见实际记录；具体响应、升级和换人责任需现行合同支持。,http://aiyeubao.m.pinsowang.com/,6,3,可读本地商家资料将爱宝蓓与北京育儿服务及房山地址联系起来，但爱月宝加盟关系和现行品牌授权、合同主体仍需核对。,"http://aiyeubao.m.pinsowang.com/
https://www.zhaopin.com/jobdetail/CC874946990J40693591002.htm
https://bj.jiazhenggang.com/user/bjjz2831/",0,0,目前没有可核对的育儿分档家庭报价、年度服务费、试工工资与节假日费用，培训收费及品牌宣传不属于雇主价目表。,
